id,message
0,Houston HoustonFlood the intersection of I-45 & N. Main Street
1,"HarveyStorm over Austin, TX at 8: 00 AM CDT via Weather Underground"
2,"HarveyRescue SOS Harvey 2320 E 17th street, in Port Arthur: 4 adults & 2 kids need rescue! HoustonFlood HarveyFlood"
3,"Harvey Relief News: Beaumont, Texas HurricaneHarvey supplies in Ford Park"
4,HarveyRelief Harvey2017 CajunNavy So proud of you Dr. Steve Morgan. Providing medical assistance in LA and TX 
5,Harvey2017 SOS Dogs locked in flooded kennels just north of Beltway 8 and Telephone Rd in Southeast Houston please help !!!
6,Harvey2017 HurricaneHarvey Hurricane Harvey Corpus Christi Right Now 75 mph winds from Swantner Park
7,"Harvey2017 intensifies to a category 3 hurricane. Be safe, people in Texas. Evacuate to the inland state park for free. "
8,Houston houstonflood help needed at Beaumont Hwy & John Ralston Rd
9,Harvey evacuees eligible for free Airbnb stays. I checked it out and there is great one on South Congress Ave.
10,"Harvey Elderly dad, brother, daughter and 3yr old grandson no power, food. Senior living community, Magnolia Estates, at 101 Normandy St"
11,Harvey does anyone know about the flooding conditions around Cypress Ridge High School?! HurricaneHarvey HarveyFloo
12,Harvey ANIMALS PETS- TAMU veterinary team locations: Rockport Aransas Co Animal 361-790-0151 872 Airport Rd
13,"Harvey LIVE UPDATE from San Antonio, TX. Fatal car accident at Ingram Rd. Strong winds."
14,Harvey is going to basically park itself over Corpus Christi all weekend. That's insane. :(
15,Harvey HoustonStrong Shltering INFO: NRG Park is now open as an emergency shelter.
16,"Harvey Mayor: Message from Port Aransas: Trailer park a' 100- percent' loss, search and rescue starts today"
17,"Harvey HTX floodinghouston flashflooding houstonflood reported at Post Oak Park Dr, near West Loop, houston, at 7:30 morning "
18,Harvey relief drive @ Linn Energy is off to a great start. Their sites are at Hwy 81 & Airport rd in Kingfisher
19,"Harvey is this your cat? From 5150 Burke Rd, Pasadena, TX 77505, 281-991-0602 shelter is still closed. Please share to "
20,Harvey hit Rockport hard; reported 1 building down. Corpus Christi residents are asked to boil their wat 
